Ime,Država,Spodnja višina [m],Zgornja višina [m],Dolžina prog [km],Dolžina črnih prog [km],Dolžina modrih prog [km],Število žičnic,Cena [€]
Nesselwang – Alpspitze (Alpspitzbahn),Nemčija,900,1463,8,0,6,6,42
Kasberg – Grünau im Almtal,Avstrija,620,1600,23,2,13,13,56
Malbun,Lihtenštajn,1600,2000,23,3,11,6,55
Splügen – Tambo,Švica,1484,2215,30,6,12,7,65
Grands Montets – Argentière (Chamonix),Francija,1252,2765,29,14,6,7,71
Galsterberg – Pruggern,Avstrija,1142,1984,11.4,0.5,4.3,4,69.50
Goldeck – Spittal an der Drau,Avstrija,547,2142,30.2,8,15.1,6,59
Vent,Avstrija,1900,2646,15,0,5,4,49.50
Hochkössen (Unterberghorn) – Kössen,Avstrija,613,1688,22.7,3,10.5,11,49.50
Les Portes du Mont-Blanc – Combloux/Megève le Jaillet/La Giettaz,Francija,1113,1835,85,7,28,20,47
Eggli/La Videmanette – Gstaad/Saanen/Rougemont,Švica,992,2151,58,5.4,35.2,9,89
Puy-Saint-Vincent,Francija,1407,2677,75,13,28,11,41
Valfréjus,Francija,1550,2737,70,10,40,9,42.50
Rinerhorn (Davos Klosters),Švica,1459,2490,51.5,12.8,15.6,7,70
Watles – Malles Venosta (Mals),Italija,1750,2520,10,1,4,3,56
Spitzingsee-Tegernsee,Nemčija,980,1580,14.2,4.3,1.7,11,49
Weissee Gletscherwelt – Uttendorf,Avstrija,1482,2600,23,2,6,8,49
Werfenweng,Avstrija,902,1834,29,1,13,9,55.50
Krvavec,Slovenija,1450,1971,30,8,7,13,43
Walmendingerhorn/Heuberg – Mittelberg/Hirschegg,Avstrija,1070,1946,33.7,2.3,19.5,13,65.80
Füssener Jöchle – Grän,Avstrija,1150,1821,9,0.5,3,5,52
Valberg/Beuil les Launes,Francija,1412,2020,90,10,45,23,33
La Norma,Francija,1352,2746,65,5,17,13,42.50
Grächen,Švica,1619,2864,44,2,9,11,73
Venet – Landeck/Zams/Fliess,Avstrija,780,2212,15,1,0,5,42
Neunerköpfle – Tannheim,Avstrija,1110,1820,8.5,1,2.5,6,52
Lavarone,Italija,1174,1600,30.4,2,22.4,14,47
Muttereralm – Mutters/Götzens,Avstrija,897,1804,16.4,1,6.8,5,52
Rangger Köpfl – Oberperfuss,Avstrija,820,1930,10,0,5,5,45
Zugspitze,Nemčija,2000,2720,20,0,7,10,66
Wurzeralm – Spital am Pyhrn,Avstrija,810,1870,22.5,2,10.5,8,Ni podatka
Anzère,Švica,1516,2420,58,9,12,12,69
Aussois,Francija,1530,2705,55,3,30,7,39.60
Hochrindl – Sirnitz,Avstrija,1470,1832,20.6,3.8,5.4,7,49
Balderschwang – Hochschelpen/Riedberger Horn,Nemčija,1000,1500,41,10.9,15.9,12,42
Minschuns – Val Müstair-Tschierv,Švica,2126,2673,18,4,6,4,45
Cima Piazzi/San Colombano – Isolaccia/Oga,Italija,1342,2360,19.6,0.8,1.6,10,56
Ankogel – Mallnitz,Avstrija,1266,2636,12.8,5,2.8,5,52
Fanningberg,Avstrija,1497,2115,24,7.1,11.1,5,58
Hahnenkamm – Höfen/Reutte,Avstrija,854,1900,15.8,2.8,1,3,49
Jöchelspitze – Bach,Avstrija,1200,1768,5,0,2.5,2,52.50
Valchiavenna – Madesimo/Campodolcino,Italija,1550,2948,37,3,15,10,55
Chäserrugg – Unterwasser/Alt St. Johann (Toggenburg),Švica,900,2262,50,2,8,12,55
Arêches (Beaufort),Francija,1080,2300,50,15,15,14,38.10
Riserva Bianca – Limone Piemonte,Italija,1046,2060,52,17,7,16,48
San Domenico – Alpe Ciamporino,Italija,1420,2500,32.6,14.1,5.7,4,45
Laterns – Gapfohl,Avstrija,1040,1785,27,4,8,5,49
Grebenzen – St. Lambrecht,Avstrija,1010,1870,12.2,0.3,2.9,8,52
Wannenjoch/Rohnenspitze – Schattwald/Zöblen,Avstrija,1090,1565,8.2,0,4.5,4,52
Bürchen/Törbel – Moosalp,Švica,1476,2532,25,5,10,7,52
Grasgehren – Bolgengrat,Nemčija,1438,1655,11,0,2.5,5,36
Oclini,Italija,1838,2223,7,0.5,3,4,35
Postalm am Wolfgangsee,Avstrija,1163,1454,8,1,5,6,51
Saint Luc/Chandolin (Anniviers),Švica,1680,2980,60,10,20,15,69
Leysin,Švica,1250,2198,60,2,43,12,72
Betelberg – Lenk,Švica,1083,2001,42,0.9,21.7,11,64
